TimeStamp,,,,TimeStamp,,Specification,Unit,Value
14:19:50.441 -> The value of current in ma : 7971.94,,,,19:50.4,->,current ,ma,7971.94
14:19:50.598 -> The value of current in ma : 7902.82,,,,19:50.6,->,current ,ma,7902.82
14:19:50.712 -> The value of current in ma : 7925.86,,,,19:50.7,->,current ,ma,7925.86
14:19:50.806 -> The value of current in ma : 7994.98,,,,19:50.8,->,current ,ma,7994.98
14:19:50.948 -> The value of current in ma : 7948.90,,,,19:50.9,->,current ,ma,7948.9
14:19:51.044 -> The value of current in ma : 7948.90,,,,19:51.0,->,current ,ma,7948.9
14:19:51.172 -> The value of current in ma : 7971.94,,,,19:51.2,->,current ,ma,7971.94
14:19:51.298 -> The value of current in ma : 7994.98,,,,19:51.3,->,current ,ma,7994.98
14:19:51.441 -> The value of current in ma : 7948.90,,,,19:51.4,->,current ,ma,7948.9
14:19:51.567 -> The value of current in ma : 7948.90,,,,19:51.6,->,current ,ma,7948.9
14:19:51.662 -> The value of current in ma : 7971.94,,,,19:51.7,->,current ,ma,7971.94
14:19:51.804 -> The value of current in ma : 7948.90,,,,19:51.8,->,current ,ma,7948.9
14:19:51.898 -> The value of current in ma : 7971.94,,,,19:51.9,->,current ,ma,7971.94
14:19:52.043 -> The value of current in ma : 7925.86,,,,19:52.0,->,current ,ma,7925.86
14:19:52.124 -> The value of current in ma : 8018.02,,,,19:52.1,->,current ,ma,8018.02
14:19:52.268 -> The value of current in ma : 7971.94,,,,19:52.3,->,current ,ma,7971.94
14:19:52.410 -> The value of current in ma : 7902.82,,,,19:52.4,->,current ,ma,7902.82
14:19:52.505 -> The value of current in ma : 7971.94,,,,19:52.5,->,current ,ma,7971.94
14:19:52.646 -> The value of current in ma : 7994.98,,,,19:52.6,->,current ,ma,7994.98
14:19:52.787 -> The value of current in ma : 7948.90,,,,19:52.8,->,current ,ma,7948.9
14:19:52.882 -> The value of current in ma : 7971.94,,,,19:52.9,->,current ,ma,7971.94
14:19:52.977 -> The value of current in ma : 7948.90,,,,19:53.0,->,current ,ma,7948.9
14:19:53.119 -> The value of current in ma : 7902.82,,,,19:53.1,->,current ,ma,7902.82
14:19:53.261 -> The value of current in ma : 7948.90,,,,19:53.3,->,current ,ma,7948.9
14:19:53.357 -> The value of current in ma : 7925.86,,,,19:53.4,->,current ,ma,7925.86
14:19:53.501 -> The value of current in ma : 7902.82,,,,19:53.5,->,current ,ma,7902.82
14:19:53.596 -> The value of current in ma : 7925.86,,,,19:53.6,->,current ,ma,7925.86
14:19:53.738 -> The value of current in ma : 7925.86,,,,19:53.7,->,current ,ma,7925.86
14:19:53.834 -> The value of current in ma : 7948.90,,,,19:53.8,->,current ,ma,7948.9
14:19:53.976 -> The value of current in ma : 7925.86,,,,19:54.0,->,current ,ma,7925.86
14:19:54.071 -> The value of current in ma : 7902.82,,,,19:54.1,->,current ,ma,7902.82
14:19:54.213 -> The value of current in ma : 8018.02,,,,19:54.2,->,current ,ma,8018.02
14:19:54.356 -> The value of current in ma : 7902.82,,,,19:54.4,->,current ,ma,7902.82
14:19:54.451 -> The value of current in ma : 7925.86,,,,19:54.5,->,current ,ma,7925.86
14:19:54.592 -> The value of current in ma : 7971.94,,,,19:54.6,->,current ,ma,7971.94
14:19:54.686 -> The value of current in ma : 7902.82,,,,19:54.7,->,current ,ma,7902.82
14:19:54.828 -> The value of current in ma : 7925.86,,,,19:54.8,->,current ,ma,7925.86
14:19:54.923 -> The value of current in ma : 7902.82,,,,19:54.9,->,current ,ma,7902.82
14:19:55.064 -> The value of current in ma : 7902.82,,,,19:55.1,->,current ,ma,7902.82
14:19:55.205 -> The value of current in ma : 7971.94,,,,19:55.2,->,current ,ma,7971.94
14:19:55.300 -> The value of current in ma : 7948.90,,,,19:55.3,->,current ,ma,7948.9
14:19:55.443 -> The value of current in ma : 7994.98,,,,19:55.4,->,current ,ma,7994.98
14:19:55.538 -> The value of current in ma : 7925.86,,,,19:55.5,->,current ,ma,7925.86
14:19:55.680 -> The value of current in ma : 7925.86,,,,19:55.7,->,current ,ma,7925.86
14:19:55.808 -> The value of current in ma : 7948.90,,,,19:55.8,->,current ,ma,7948.9
14:19:55.902 -> The value of current in ma : 7925.86,,,,19:55.9,->,current ,ma,7925.86
14:19:56.029 -> The value of current in ma : 7948.90,,,,19:56.0,->,current ,ma,7948.9
14:19:56.170 -> The value of current in ma : 7948.90,,,,19:56.2,->,current ,ma,7948.9
14:19:56.265 -> The value of current in ma : 7925.86,,,,19:56.3,->,current ,ma,7925.86
14:19:56.407 -> The value of current in ma : 7810.66,,,,19:56.4,->,current ,ma,7810.66
